name,stamina,attack_value,defense_value,capture_rate,flee_rate,spawn_chance,primary_strength,combat_point
Bulbasaur,90,126,126,0.16,0.1,69,Grass,1079
Ivysaur,120,156,158,0.08,0.07,4.2,Grass,1643
Venusaur,160,198,200,0.04,0.05,1.7,Grass,2598
Charmander,78,128,108,0.16,0.1,25.3,Fire,962
Charmeleon,116,160,140,0.08,0.07,1.2,Fire,1568
Charizard,156,212,182,0.04,0.05,0.31,Fire,2620
Squirtle,88,112,142,0.16,0.1,58,Water,1015
Wartortle,118,144,176,0.08,0.07,3.4,Water,1594
Blastoise,158,186,222,0.04,0.05,0.67,Water,2560
Caterpie,90,62,66,0.4,0.2,303.2,Bug,446
Metapod,100,56,86,0.2,0.09,18.7,Bug,481
Butterfree,120,144,144,0.1,0.06,2.2,Bug,1465
Weedle,80,68,64,0.4,0.2,712,Bug,452
Kakuna,90,62,82,0.2,0.09,44,Bug,488
Beedrill,130,144,130,0.1,0.06,5.1,Bug,1450
Pidgey,80,94,90,0.4,0.2,1598,Normal,684
Pidgeotto,126,126,122,0.2,0.09,102,Normal,1232
Pidgeot,166,170,166,0.1,0.06,13,Normal,2106
Rattata,60,92,86,0.4,0.2,1305,Normal,585
Raticate,110,146,150,0.16,0.07,41,Normal,1454
Spearow,80,102,78,0.4,0.15,473,Normal,691
Fearow,130,168,146,0.16,0.07,15,Normal,1758
Ekans,70,112,112,0.4,0.15,227,Poison,830
Arbok,120,166,166,0.16,0.07,7.2,Poison,1779
Pikachu,70,124,108,0.16,0.1,21,Electric,894
Raichu,120,200,154,0.08,0.06,0.76,Electric,2042
Sandshrew,100,90,114,0.4,0.1,111,Ground,804
Sandslash,150,150,172,0.16,0.06,3.7,Ground,1823
Nidoran?,110,100,104,0.4,0.15,138,Poison,882
Nidorina,140,132,136,0.2,0.07,8.8,Poison,1414
Nidoqueen,180,184,190,0.1,0.05,1.2,Poison,2502
Nidoran?,92,110,94,0.4,0.15,131,Poison,849
Nidorino,122,142,128,0.2,0.07,8.3,Poison,1382
Nidoking,162,204,170,0.1,0.05,1.7,Poison,2492
Clefairy,140,116,124,0.24,0.1,92,Fairy,1209
Clefable,190,178,178,0.08,0.06,1.2,Fairy,2414
Vulpix,76,106,118,0.24,0.1,22,Fire,837
Ninetales,146,176,194,0.08,0.06,0.77,Fire,2203
Jigglypuff,230,98,54,0.4,0.1,39,Normal,924
Wigglytuff,280,168,108,0.16,0.06,1.8,Normal,2192
Zubat,80,88,90,0.4,0.2,652,Poison,647
Golbat,150,164,164,0.16,0.07,42,Poison,1935
Oddish,90,134,130,0.48,0.15,102,Grass,1156
Gloom,120,162,158,0.24,0.07,6.4,Grass,1701
Vileplume,150,202,190,0.12,0.05,0.97,Grass,2510
Paras,70,122,120,0.32,0.15,236,Bug,923
Parasect,120,162,170,0.16,0.07,7.4,Bug,1759
Venonat,120,108,118,0.4,0.15,228,Bug,1036
Venomoth,140,172,154,0.16,0.07,7.2,Bug,1903
Diglett,20,108,86,0.4,0.1,40,Ground,460
Dugtrio,70,148,140,0.16,0.06,1.4,Ground,1176
Meowth,80,104,94,0.4,0.15,86,Normal,761
Persian,130,156,146,0.16,0.07,2.2,Normal,1643
Psyduck,100,132,112,0.4,0.1,254,Water,1117
Golduck,160,194,176,0.16,0.06,8.7,Water,2403
Mankey,80,122,96,0.4,0.1,92,Fighting,884
Primeape,130,178,150,0.16,0.06,3.1,Fighting,1877
Growlithe,110,156,110,0.24,0.1,92,Fire,1344
Arcanine,180,230,180,0.08,0.06,1.7,Fire,3005
Poliwag,80,108,98,0.4,0.15,219,Water,801
Poliwhirl,130,132,132,0.2,0.07,13,Water,1350
Poliwrath,180,180,202,0.1,0.05,1.1,Water,2523
Abra,50,110,76,0.4,0.99,42,Psychic,604
Kadabra,80,150,112,0.2,0.07,2.7,Psychic,1140
Alakazam,110,186,152,0.1,0.05,0.73,Psychic,1826
Machop,140,118,96,0.4,0.1,49,Fighting,1097
Machoke,160,154,144,0.2,0.07,3.4,Fighting,1773
Machamp,180,198,180,0.1,0.05,0.68,Fighting,2612
Bellsprout,100,158,78,0.4,0.15,115,Grass,1125
Weepinbell,130,190,110,0.2,0.07,7.2,Grass,1736
Victreebel,160,222,152,0.1,0.05,0.59,Grass,2548
Tentacool,80,106,136,0.4,0.15,81,Water,911
Tentacruel,160,170,196,0.16,0.07,8.2,Water,2236
Geodude,80,106,118,0.4,0.1,119,Rock,855
Graveler,110,142,156,0.2,0.07,7.1,Rock,1443
Golem,160,176,198,0.1,0.05,0.47,Rock,2319
Ponyta,100,168,138,0.32,0.1,51,Fire,1526
Rapidash,130,200,170,0.12,0.06,1.1,Fire,2215
Slowpoke,180,110,110,0.4,0.1,105,Water,1227
Slowbro,190,184,198,0.16,0.06,3.6,Water,2615
Magnemite,50,128,138,0.4,0.1,71,Electric,897
Magneton,100,186,180,0.16,0.06,2.3,Electric,1893
Farfetch'd,104,138,132,0.24,0.09,2.12,Normal,1272
Doduo,70,126,96,0.4,0.1,52,Normal,861
Dodrio,120,182,150,0.16,0.06,22,Normal,1849
Seel,130,104,138,0.4,0.09,28,Water,1114
Dewgong,180,156,192,0.16,0.06,1.3,Water,2161
Grimer,160,124,110,0.4,0.1,5.2,Poison,1293
Muk,210,180,188,0.16,0.06,0.31,Poison,2621
Shellder,60,120,112,0.4,0.1,52,Water,828
Cloyster,100,196,196,0.16,0.06,1.5,Water,2067
Gastly,60,136,82,0.32,0.1,79,Ghost,810
Haunter,90,172,118,0.16,0.07,5.2,Ghost,1390
Gengar,120,204,156,0.08,0.05,0.67,Ghost,2093
Onix,70,90,186,0.16,0.09,10,Rock,863
Drowzee,120,104,140,0.4,0.1,321,Psychic,1082
Hypno,170,162,196,0.16,0.06,10,Psychic,2199
Krabby,60,116,110,0.4,0.15,212,Water,797
Kingler,110,178,168,0.16,0.07,6.2,Water,1836
Voltorb,80,102,124,0.4,0.1,65,Electric,845
Electrode,120,150,174,0.16,0.06,2,Electric,1657
Exeggcute,120,110,132,0.4,0.1,78,Grass,1107
Exeggutor,190,232,164,0.16,0.06,1.4,Grass,2976
Cubone,100,102,150,0.32,0.1,61,Ground,1013
Marowak,120,140,202,0.12,0.06,2,Ground,1668
Hitmonlee,100,148,172,0.16,0.09,2,Fighting,1503
Hitmonchan,100,138,204,0.16,0.09,2.2,Fighting,1527
Lickitung,180,126,160,0.16,0.09,1.1,Normal,1638
Koffing,80,136,142,0.4,0.1,20,Poison,1160
Weezing,130,190,198,0.16,0.06,1.6,Poison,2266
Rhyhorn,160,110,116,0.4,0.1,63,Ground,1190
Rhydon,210,166,160,0.16,0.06,2.2,Ground,2259
Chansey,500,40,60,0.16,0.09,1.3,Normal,679
Tangela,130,164,152,0.32,0.09,22.8,Grass,1752
Kangaskhan,210,142,178,0.16,0.09,0.86,Normal,2057
Horsea,60,122,100,0.4,0.1,113,Water,800
Seadra,110,176,150,0.16,0.06,3.4,Water,1725
Goldeen,90,112,126,0.4,0.15,218,Water,972
Seaking,160,172,160,0.16,0.07,8,Water,2058
Staryu,60,130,128,0.4,0.15,195,Water,944
Starmie,120,194,192,0.16,0.06,3.4,Water,2197
Mr. Mime,80,154,196,0.24,0.09,0.31,Psychic,1505
Scyther,140,176,180,0.24,0.09,14,Bug,2088
Jynx,130,172,134,0.24,0.09,35,Ice,1728
Electabuzz,130,198,160,0.24,0.09,7.4,Electric,2134
Magmar,130,214,158,0.24,0.09,10,Fire,2281
Pinsir,130,184,186,0.24,0.09,99,Bug,2137
Tauros,150,148,184,0.24,0.09,12,Normal,1857
Magikarp,40,42,84,0.56,0.15,478,Water,264
Gyarados,190,192,196,0.08,0.07,0.32,Water,2708
Lapras,260,186,190,0.16,0.09,0.6,Water,3002
Ditto,96,110,110,0.16,0.1,0.01,Normal,926
Eevee,110,114,128,0.32,0.1,275,Normal,1084
Vaporeon,260,186,168,0.12,0.06,1.4,Water,2836
Jolteon,130,192,174,0.12,0.06,1.2,Electric,2155
Flareon,130,238,178,0.12,0.06,1.7,Fire,2662
Porygon,130,156,158,0.32,0.09,1.2,Normal,1703
Omanyte,70,132,160,0.32,0.09,14,Rock,1127
Omastar,140,180,202,0.12,0.05,0.61,Rock,2249
Kabuto,60,148,142,0.32,0.09,10,Rock,1112
Kabutops,120,190,190,0.12,0.05,0.32,Rock,2145
Aerodactyl,160,182,162,0.16,0.09,1.8,Rock,2180
Snorlax,320,180,180,0.16,0.09,1.6,Normal,3135
Dratini,82,128,110,0.32,0.09,30,Dragon,990
Dragonair,122,170,152,0.08,0.06,2,Dragon,1760
Dragonite,182,250,212,0.04,0.05,0.11,Dragon,3525